time_s,phase,x_cm,y_cm,vx_cm_s,vy_cm_s
1.000000000000000021e-02,1.000000000000000000e+00,2.594507281886377914e-01,-1.146496657411981770e-02,4.547916556848801406e+01,-1.312185224744136791e-01
2.000000000000000042e-02,1.000000000000000000e+00,6.282780580317971486e-01,-5.523543901429280728e-03,3.422975144811434944e+01,8.372724862340169549e-01
2.999999999999999889e-02,1.000000000000000000e+00,1.136177770897665029e+00,1.434164885535161617e-02,5.738605224461412746e+01,2.952096296798605302e+00
4.000000000000000083e-02,1.000000000000000000e+00,1.580387166390676779e+00,1.279629155342331369e-02,4.184904499388565569e+01,1.014951624950178211e+00
5.000000000000000278e-02,1.000000000000000000e+00,2.024657643543839480e+00,3.117794058134308599e-02,4.407264668753185077e+01,1.747349525276876925e+00
5.999999999999999778e-02,1.000000000000000000e+00,2.464600712249342074e+00,4.356976620446907644e-02,4.390662993129669900e+01,1.387739580936383943e+00
7.000000000000000666e-02,1.000000000000000000e+00,2.905485902489884253e+00,5.981763940000341812e-02,4.392625658391000343e+01,1.630340136731001532e+00
8.000000000000000167e-02,1.000000000000000000e+00,3.345383029700705002e+00,7.432141022365797156e-02,4.384528908912871259e+01,1.522998021857242756e+00
8.999999999999999667e-02,1.000000000000000000e+00,3.784168839866845158e+00,9.049557678773302583e-02,4.374974925789922509e+01,1.639083658995948989e+00
1.000000000000000056e-01,1.000000000000000000e+00,4.221367650375534630e+00,1.059826070181910385e-01,4.361598292219521511e+01,1.596480470603193647e+00
1.100000000000000006e-01,1.000000000000000000e+00,4.657660136947838758e+00,1.221170650683528064e-01,4.353918002541060162e+01,1.641044508927502754e+00
1.199999999999999956e-01,1.000000000000000000e+00,5.067411462189031823e+00,1.227549599337464936e-01,3.903085734747000402e+01,-1.008072147422795384e+00
1.300000000000000044e-01,1.000000000000000000e+00,5.499875818425408625e+00,1.546567465533785213e-01,4.313314611171788471e+01,2.789892566334525981e+00
1.400000000000000133e-01,1.000000000000000000e+00,5.925239371424820156e+00,1.466852754673279302e-01,4.014004440077905400e+01,-1.428351207665152334e+00
1.499999999999999944e-01,1.000000000000000000e+00,6.351297441627165696e+00,1.887568840383376245e-01,4.335652852283898540e+01,3.261499871269633921e+00
1.600000000000000033e-01,1.000000000000000000e+00,6.751585697702434885e+00,1.937769238423504292e-01,3.597831564930583426e+01,3.680759380176920059e-01
1.700000000000000122e-01,1.000000000000000000e+00,7.180716577209899754e+00,2.249898426972909149e-01,4.508399133255731783e+01,1.931563616782836945e+00
1.799999999999999933e-01,1.000000000000000000e+00,7.597579115128971772e+00,2.457147977321198495e-01,3.955527556421202462e+01,3.099507448820785438e+00
1.900000000000000022e-01,1.000000000000000000e+00,8.027439991139676323e+00,2.560333387588396570e-01,4.511172907393374487e+01,3.082026357107556791e-01
2.000000000000000111e-01,1.000000000000000000e+00,8.445795776679384304e+00,2.915835077248656870e-01,3.975360754580654543e+01,4.074928610500982096e+00
2.099999999999999922e-01,1.000000000000000000e+00,8.875021831853091570e+00,2.916617333794800371e-01,4.545885807345282359e+01,-9.298981273967062144e-02
2.200000000000000011e-01,1.000000000000000000e+00,9.314449806381547958e+00,3.332277025813553117e-01,4.406486294514099455e+01,2.698068906892439056e+00
2.300000000000000100e-01,1.000000000000000000e+00,9.753507503114285271e+00,3.366044002419195658e-01,4.369903459460233819e+01,7.600370313590266713e-01
2.399999999999999911e-01,1.000000000000000000e+00,1.015896477041657953e+01,3.551859528404587851e-01,3.836633592848172469e+01,1.298185956067106295e+00
2.500000000000000000e-01,1.000000000000000000e+00,1.057627399665595469e+01,3.720253519478963211e-01,4.371487117404780065e+01,2.118746153393411102e+00
2.600000000000000089e-01,1.000000000000000000e+00,1.099611261607143575e+01,3.789519326597143301e-01,4.105459832201566428e+01,2.553659895334382812e-02
2.700000000000000178e-01,1.000000000000000000e+00,1.152490214632977050e+01,3.964758730439815193e-01,6.104778953359544147e+01,2.170405389129838269e+00
